delivery_id,order_date,delivery_date,partner,city,province,distance_km,delivery_time_hours,cost
D001,2026-01-22,2026-01-26,UPS,Hamilton,Que.,45.8,0.84,61.31
D002,2026-03-09,2026-03-11,FedEx,Brampton,ON,58.8,1.29,125.35
D003,2026-01-30,2026-02-01,UPS,Hamilton,Ontario,149.6,2.94,250.49
D004,2026-02-12,2026-02-17,Amazon Logistics,Toronto,Que.,21.8,0.37,28.37
D005,2026-01-12,2026-01-13,UPS,Ottawa,Ontario,28.4,0.56,36.82
D006,2026-03-27,2026-03-28,Purolator,Toronto,QC,15.8,,19.9
D007,2026-03-02,2026-03-07,Purolator,Ottawa,QC,54.5,1.81,80.64
D008,2026-02-27,2026-03-04,FedEx,Toronto,Quebec,149.3,3.87,195.08
D009,2026-03-05,2026-03-06,DHL,Hamilton,QC,84.8,1.66,160.41
D010,2026-03-13,2026-03-18,Amazon Logistics,Mississauga,ON,102.1,2.18,213.43
D010,2026-02-09,2026-02-11,UPS,Mississauga,ON,14.5,0.27,18.96
D012,2026-01-05,2026-01-10,Purolator,Toronto,Ontario,138.1,4.5,310.47
D013,2026-03-04,2026-03-09,DHL,Hamilton,Que.,40.8,0.73,48.56
D014,2026-02-22,2026-02-26,Amazon Logistics,Toronto,Ontario,12.6,0.37,20.73
D015,2026-01-22,2026-01-26,DHL,Ottawa,Ontario,98.6,3.27,114.79
D016,2026-01-18,2026-01-23,Amazon Logistics,Brampton,QC,143.2,,321.61
D017,2026-03-18,2026-03-22,DHL,Hamilton,Que.,135.9,3.26,253.44
D018,2026-01-18,2026-01-19,Amazon Logistics,Hamilton,Que.,23.3,0.47,35.51
D019,2026-02-01,2026-02-06,DHL,Brampton,Quebec,104.1,2.03,133.72
D020,2026-02-20,2026-02-21,FedEx,Toronto,ON,98.1,1.87,191.48
D021,2026-01-17,2026-01-20,DHL,Brampton,Quebec,76.6,2.34,102.58
D022,2026-02-18,2026-02-20,FedEx,Toronto,Ont.,108.1,1.94,173.39
D023,2026-01-09,2026-01-13,Purolator,Mississauga,Ont.,38.8,0.66,80.3
D024,2026-02-01,2026-02-05,Purolator,Hamilton,Ontario,110.3,,191.6
D025,2026-03-15,2026-03-16,Purolator,Mississauga,Ont.,91.2,2.51,134.89
D025,2026-03-21,2026-03-26,DHL,Mississauga,ON,94.4,,111.86
D027,2026-03-26,2026-03-30,UPS,Hamilton,ON,99.5,2.12,189.83
D028,2026-01-03,2026-01-07,FedEx,Brampton,Que.,79.4,1.43,89.92
D029,2026-03-26,2026-03-30,UPS,Ottawa,ON,45.0,0.99,76.18
D030,2026-01-31,2026-02-04,FedEx,Toronto,Quebec,75.6,1.6,130.31
D031,2026-03-04,2026-03-07,Purolator,Mississauga,Ontario,95.9,1.86,136.07
D032,2026-03-05,2026-03-09,FedEx,Brampton,Que.,60.4,1.39,90.99
D033,2026-02-09,2026-02-13,Amazon Logistics,Hamilton,ON,85.2,3.07,198.22
D034,2026-03-01,2026-03-02,Amazon Logistics,Hamilton,Ont.,67.8,1.39,134.66
D035,2026-02-03,2026-02-04,DHL,Hamilton,Ontario,79.6,1.37,108.24
D036,2026-03-18,2026-03-21,UPS,Ottawa,QC,141.4,3.42,268.97
D037,2026-02-05,2026-02-07,DHL,Toronto,Que.,44.5,1.41,69.23
D038,2026-03-22,2026-03-25,Purolator,Ottawa,ON,77.7,2.95,156.22
D039,2026-01-31,2026-02-01,Amazon Logistics,Toronto,ON,146.1,,230.99
D040,2026-01-18,2026-01-23,UPS,Ottawa,Que.,126.9,3.54,285.18
D041,2026-02-01,2026-02-03,UPS,Brampton,QC,100.5,3.65,130.42
D042,2026-03-05,2026-03-10,DHL,Mississauga,Quebec,103.5,2.13,134.5
D043,2026-02-06,2026-02-09,FedEx,Brampton,ON,101.9,3.23,159.8
D044,2026-02-15,2026-02-16,UPS,Brampton,ON,89.9,2.6,102.68
D045,2026-01-30,2026-02-02,Purolator,Ottawa,Quebec,33.9,1.07,40.74
D046,2026-01-29,2026-01-31,DHL,Toronto,Ont.,56.1,1.29,113.46
D047,2026-03-05,2026-03-09,FedEx,Brampton,Ontario,122.0,2.15,242.19
D048,2026-03-24,2026-03-29,Amazon Logistics,Toronto,Ontario,61.6,1.06,140.89
D049,2026-01-23,2026-01-28,DHL,Brampton,Que.,8.6,0.23,19.87
D050,2026-03-10,2026-03-15,Amazon Logistics,Ottawa,QC,37.8,0.88,77.94
